Search Link,Date collected,company_name,city,company_address,company_category
http://www.yellowpages.com/new-york-ny/mip/esca-3306782?geo_location_terms=&lid=3306782&search_terms=,2020-06-14,Esca,New York,"402 W 43rd St, New York, NY 10036",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/spoonfed-new-york-country-482175847?lid=1000647207573,2020-06-14,Spoonfed New York Country,New York,"331 W 51st St, New York, NY 10019",
http://www.yellowpages.com/new-york-ny/mip/whitmans-458022651,2020-06-14,Whitmans,New York,"406 E 9th St, New York, NY 10009",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/craft-2519954?geo_location_terms=&lid=2519954&search_terms=,2020-06-14,Craft,New York,"47 E 19th St Fl 4, New York, NY 10003",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/indian-tanpura-3293570,2020-06-14,Indian Tanpura,New York,"564 Amsterdam Ave Frnt 2, New York, NY 10024",Indian Restaurants
http://www.yellowpages.com/new-york-ny/mip/pound-pence-6489453?geo_location_terms=&lid=6489453&search_terms=,2020-06-14,Pound & Pence,New York,"55 Liberty St, New York, NY 10005",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/juniors-8321808?geo_location_terms=&lid=8321808&search_terms=,2020-06-14,Juniors,New York,"1515 Broadway, New York, NY 10036",Dessert Restaurants
http://www.yellowpages.com/new-york-ny/mip/yakitori-totto-922315?geo_location_terms=&lid=922315&search_terms=,2020-06-14,Yakitori Totto,New York,"251 W 55th St, New York, NY 10019",Japanese Restaurants
http://www.yellowpages.com/new-york-ny/mip/sugar-sweet-sunshine-6341090?geo_location_terms=&lid=6341090&search_terms=,2020-06-14,Sugar Sweet Sunshine,New York,"126 Rivington St, New York, NY 10002",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/dublin-house-8889506,2020-06-14,Dublin House,New York,"225 W 79th St, New York, NY 10024",Barbecue Restaurants
http://www.yellowpages.com/new-york-ny/mip/red-house-12325724?geo_location_terms=&lid=12325724&search_terms=,2020-06-14,Red House,New York,"203 E 14th St Frnt A, New York, NY 10003",Chinese Restaurants
http://www.yellowpages.com/new-york-ny/mip/el-porron-450837438,2020-06-14,El Porron,New York,"1123 1st Ave, New York, NY 10065",Spanish Restaurants
http://www.yellowpages.com/new-york-ny/mip/niko-461972725,2020-06-14,Niko,New York,"170 Mercer St, New York, NY 10012",Japanese Restaurants
http://www.yellowpages.com/new-york-ny/mip/mudville-9-22341460?geo_location_terms=&lid=22341460&search_terms=,2020-06-14,Mudville 9,New York,"126 Chambers St, New York, NY 10007",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/positano-ristorante-1934485,2020-06-14,Positano Ristorante,New York,"122 Mulberry St, New York, NY 10013",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/harrys-cafe-steak-7220915,2020-06-14,Harry's Cafe & Steak,New York,"1 Hanover Sq, New York, NY 10004",Steak Houses
http://www.yellowpages.com/new-york-ny/mip/bistecca-fiorentina-10384513,2020-06-14,Bistecca Fiorentina,New York,"317 W 46th St, New York, NY 10036",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/choice-kitchen-cocktails-8679747,2020-06-14,CHOICE Kitchen & Cocktails,New York,"380 3rd Ave, New York, NY 10016",Family Style Restaurants
http://www.yellowpages.com/new-york-ny/mip/philip-marie-6865366?geo_location_terms=&lid=6865366&search_terms=,2020-06-14,Philip Marie,New York,"569 Hudson St, New York, NY 10014",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/el-cocotero-8926378?geo_location_terms=&lid=8926378&search_terms=,2020-06-14,El Cocotero,New York,"228 W 18th St Frnt 1, New York, NY 10011",Latin American Restaurants
http://www.yellowpages.com/new-york-ny/mip/strip-house-speakeasy-471112992?geo_location_terms=&lid=471112992&search_terms=,2020-06-14,Strip House Speakeasy,New York,"13 E 12th St, New York, NY 10003",Steak Houses
http://www.yellowpages.com/new-york-ny/mip/cosi-473192132,2020-06-14,Cosi,New York,"60 E 56th St, New York, NY 10022",Sandwich Shops
http://www.yellowpages.com/new-york-ny/mip/yuca-bar-2363041?geo_location_terms=&lid=2363041&search_terms=,2020-06-14,Yuca Bar,New York,"111 Avenue A, New York, NY 10009",Cuban Restaurants
http://www.yellowpages.com/new-york-ny/mip/sun-cafe-13174080,2020-06-14,Sun Cafe,New York,"67 Reade St, New York, NY 10007",Japanese Restaurants
http://www.yellowpages.com/new-york-ny/mip/morandi-restaurant-8779116?geo_location_terms=&lid=8779116&search_terms=,2020-06-14,Morandi Restaurant,New York,"211 Waverly Pl, New York, NY 10014",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/rumours-bar-lounge-grill-3890684?geo_location_terms=&lid=3890684&search_terms=,2020-06-14,Rumours Bar Lounge & Grill,New York,"933 8th Ave, New York, NY 10019",Irish Restaurants
http://www.yellowpages.com/new-york-ny/mip/steamers-landing-458889923,2020-06-14,Steamers Landing,New York,"Between Liberty & Albany On The The Hudson River, New York, NY 10280",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/steak-frites-1286023,2020-06-14,Steak Frites,New York,"9 E 16th St, New York, NY 10003",Steak Houses
http://www.yellowpages.com/new-york-ny/mip/bens-kosher-deli-8703772?geo_location_terms=&lid=8703772&search_terms=,2020-06-14,Ben's Kosher Deli,New York,"209 W 38th St, New York, NY 10018",Delicatessens
http://www.yellowpages.com/new-york-ny/mip/pylos-1607439?geo_location_terms=&lid=1607439&search_terms=,2020-06-14,Pylos,New York,"128 E 7th St, New York, NY 10009",Mediterranean Restaurants
http://www.yellowpages.com/new-york-ny/mip/lavagna-7187562?geo_location_terms=&lid=7187562&search_terms=,2020-06-14,Lavagna,New York,"545 E 5th St, New York, NY 10009",Mediterranean Restaurants
http://www.yellowpages.com/new-york-ny/mip/aangan-450837398,2020-06-14,Aangan,New York,"2701 Broadway, New York, NY 10025",Indian Restaurants
http://www.yellowpages.com/new-york-ny/mip/mr-ks-407372?geo_location_terms=&lid=1001117669298&search_terms=,2020-06-14,Mr. K's,New York,"570 Lexington Ave, New York, NY 10022",Chinese Restaurants
http://www.yellowpages.com/new-york-ny/mip/paul-jimmys-restaurant-2388948?geo_location_terms=&lid=2388948&search_terms=,2020-06-14,Paul & Jimmy's Restaurant,New York,"123 E 18th St, New York, NY 10003",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/fresco-by-scotto-1948734?geo_location_terms=&lid=1948734&search_terms=,2020-06-14,Fresco by Scotto,New York,"34 E 52nd St, New York, NY 10022",Family Style Restaurants
http://www.yellowpages.com/new-york-ny/mip/veselka-2322516?geo_location_terms=&lid=2322516&search_terms=,2020-06-14,Veselka,New York,"144 2nd Ave, New York, NY 10003",Coffee Shops
http://www.yellowpages.com/new-york-ny/mip/bello-giardino-15954301,2020-06-14,Bello Giardino,New York,"71 W 71st St Frnt 1, New York, NY 10023",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/bobby-vans-steakhouse-11139387?geo_location_terms=&lid=11139387&search_terms=,2020-06-14,Bobby Van's Steakhouse,New York,"131 E 54th St, New York, NY 10022",Steak Houses
http://www.yellowpages.com/new-york-ny/mip/sushi-yasuda-2569332?geo_location_terms=&lid=2569332&search_terms=,2020-06-14,Sushi Yasuda,New York,"204 E 43rd St, New York, NY 10017",Sushi Bars
http://www.yellowpages.com/new-york-ny/mip/tgi-fridays-458022579,2020-06-14,TGI Fridays,New York,"34 Union Sq E, New York, NY 10003",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/bianca-6255318?geo_location_terms=&lid=6255318&search_terms=,2020-06-14,Bianca,New York,"5 Bleecker St, New York, NY 10012",Family Style Restaurants
http://www.yellowpages.com/new-york-ny/mip/angelos-pizzeria-5912420?geo_location_terms=&lid=5912420&search_terms=,2020-06-14,Angelo's Pizzeria,New York,"1043 2nd Ave, New York, NY 10022",Pizza
http://www.yellowpages.com/new-york-ny/mip/amazing-66-restaurant-22305750?geo_location_terms=&lid=22305750&search_terms=,2020-06-14,Amazing 66 Restaurant,New York,"66 Mott St, New York, NY 10013",Chinese Restaurants
